"id"	"happy"	"country"	"GINI"	"god_imp"
"1"	-0.784785403870675	"Algeria            "	-0.155065633678763	0.873711378982186
"2"	0.280116965913869	"Argentina          "	0.930655421603969	0.414808467936459
"4"	0.83352632073504	"Australia          "	-0.325118329084491	-1.09614941799629
"5"	-0.27318167452441	"Azerbaijan         "	-0.455928094781206	0.962928310854944
"7"	-1.60343553675238	"Belarus            "	-1.31142396243772	-0.544819923574567
"9"	-0.154261876081274	"Chile              "	1.87771812524818	0.254986418638639
"10"	-0.506444638375008	"China              "	0.0686190656626192	-1.95983853025845
"11"	1.61476497788631	"Colombia           "	2.22567210200144	0.906792454962602
"13"	1.72072259615339	"Equador            "	1.32308471869411	0.750825681314098
"14"	-1.12599275576259	"Estonia            "	-0.461160485409075	-1.54800240705488
"16"	-0.127274872503409	"Germany            "	-0.769871532453321	-1.52654222913766
"17"	0.997160298723752	"Ghana              "	0.826007609046597	0.938962574590095
"20"	-1.68731616620061	"Iraq               "	-0.913762274719707	0.985231058761944
"21"	0.437894028431872	"Japan              "	-0.573656883908249	-1.30799301934875
"22"	-0.444036315867385	"Jordan             "	-0.364361258793505	0.966192524845505
"23"	0.37075488574045	"Kazakhstan         "	-1.03149106384675	-0.17122388713384
"27"	2.23034292335828	"Mexico             "	1.51929936723918	0.784907298180554
"28"	-0.805507650487398	"Morocco            "	0.577469054222839	1.01410018055241
"29"	0.588456401238044	"Netherlands        "	-0.992248134137736	-1.54400920861958
"31"	1.02205763082547	"Nigeria            "	0.85216956218594	0.627586883478506
"32"	0.587597191801958	"Pakistan           "	-0.900681298150036	0.891592555213738
"34"	-0.0502254877238268	"Peru               "	1.15303202328838	0.572448036726284
"35"	1.20584070214844	"Philippines        "	0.85216956218594	0.822432166700956
"36"	0.172366075002862	"Poland             "	-0.484706243234483	0.0991017588807261
"38"	-1.57196741565078	"Romania            "	-1.20154375925248	0.597027957383464
"39"	-0.991816732974924	"Russia             "	0.420497335386782	-0.47371726669844
"41"	-0.457723332236999	"Slovenia           "	-1.5194114898955	-1.26010378931672
"44"	-0.522826725959224	"Spain              "	-0.0896607508304055	-1.21064658296857
"45"	1.13027245649686	"Sweden             "	-1.35851547808854	-1.87763220996392
"48"	-0.920691495053332	"Tunisia            "	-0.0896607508304055	0.957173743525495
"49"	0.298321558843139	"Turkey             "	0.464972655723665	0.696246029748313
"50"	-1.28061594917694	"Ukraine            "	-1.52856817349427	-0.184900548232995
"51"	0.652157292359338	"United States      "	0.603631007362182	0.0541443165775847
"52"	0.308824771416203	"Uruguay            "	0.908417761435527	-0.481949459133102
"53"	-1.14307304787409	"Yemen              "	-0.0765797742607339	1.01632868158327
